Fresh,Milk,Grocery,Frozen,cluster
12669.0,9656.0,7561.0,214.0,0
7057.0,9810.0,9568.0,1762.0,1
6353.0,8808.0,7684.0,2405.0,1
13265.0,1196.0,4221.0,6404.0,0
22615.0,5410.0,7198.0,3915.0,0
9413.0,8259.0,5126.0,666.0,0
12126.0,3199.0,6975.0,480.0,0
7579.0,4956.0,9426.0,1669.0,2
5963.0,3648.0,6192.0,425.0,2
6006.0,11093.0,18881.0,1159.0,2
3366.0,5403.0,12974.0,4400.0,2
13146.0,1124.0,4523.0,1420.0,0
31714.0,12319.0,11757.0,287.0,0
21217.0,6208.0,14982.0,3095.0,0
24653.0,9465.0,12091.0,294.0,0
10253.0,1114.0,3821.0,397.0,0
1020.0,8816.0,12121.0,134.0,2
5876.0,6157.0,2933.0,839.0,1
18601.0,6327.0,10099.0,2205.0,0
7780.0,2495.0,9464.0,669.0,2
17546.0,4519.0,4602.0,1066.0,0
5567.0,871.0,2010.0,3383.0,0
31276.0,1917.0,4469.0,9408.0,0
26373.0,36423.0,22019.0,5154.0,1
22647.0,9776.0,13792.0,2915.0,0
16165.0,4230.0,7595.0,201.0,0
9898.0,961.0,2861.0,3151.0,0
14276.0,803.0,3045.0,485.0,0
4113.0,20484.0,25957.0,1158.0,2
43088.0,2100.0,2609.0,1200.0,0
18815.0,3610.0,11107.0,1148.0,0
2612.0,4339.0,3133.0,2088.0,1
21632.0,1318.0,2886.0,266.0,0
29729.0,4786.0,7326.0,6130.0,0
1502.0,1979.0,2262.0,425.0,2
688.0,5491.0,11091.0,833.0,2
29955.0,4362.0,5428.0,1729.0,0
15168.0,10556.0,12477.0,1920.0,0
4591.0,15729.0,16709.0,33.0,2
56159.0,555.0,902.0,10002.0,0
24025.0,4332.0,4757.0,9510.0,0
19176.0,3065.0,5956.0,2033.0,0
10850.0,7555.0,14961.0,188.0,2
630.0,11095.0,23998.0,787.0,2
9670.0,7027.0,10471.0,541.0,2
5181.0,22044.0,21531.0,1740.0,1
3103.0,14069.0,21955.0,1668.0,2
44466.0,54259.0,55571.0,7782.0,2
11519.0,6152.0,10868.0,584.0,0
4967.0,21412.0,28921.0,1798.0,2
6269.0,1095.0,1980.0,3860.0,0
3347.0,4051.0,6996.0,239.0,2
40721.0,3916.0,5876.0,532.0,0
491.0,10473.0,11532.0,744.0,2
27329.0,1449.0,1947.0,2436.0,0
5264.0,3683.0,5005.0,1057.0,0
4098.0,29892.0,26866.0,2616.0,1
5417.0,9933.0,10487.0,38.0,2
13779.0,1970.0,1648.0,596.0,0
6137.0,5360.0,8040.0,129.0,2
8590.0,3045.0,7854.0,96.0,0
35942.0,38369.0,59598.0,3254.0,2
7823.0,6245.0,6544.0,4154.0,0
9396.0,11601.0,15775.0,2896.0,2
4760.0,1227.0,3250.0,3724.0,0
85.0,20959.0,45828.0,36.0,2
9.0,1534.0,7417.0,175.0,2
19913.0,6759.0,13462.0,1256.0,0
