median_income,housing_median_age,total_rooms,ocean_proximity,median_house_value
8.3252,41.0,880.0,3.0,4.526
8.3014,21.0,7099.0,3.0,3.585
7.2574,52.0,1467.0,3.0,3.521
5.6431,52.0,1274.0,3.0,3.413
3.8462,52.0,1627.0,3.0,3.422
4.0368,52.0,919.0,3.0,2.697
3.6591,52.0,2535.0,3.0,2.992
3.12,52.0,3104.0,3.0,2.414
2.0804,42.0,2555.0,3.0,2.267
3.6912,52.0,3549.0,3.0,2.611
3.2031,52.0,2202.0,3.0,2.815
3.2705,52.0,3503.0,3.0,2.418
3.075,52.0,2491.0,3.0,2.135
2.6736,52.0,696.0,3.0,1.913
1.9167,52.0,2643.0,3.0,1.592
2.125,50.0,1120.0,3.0,1.4
2.775,52.0,1966.0,3.0,1.525
2.1202,52.0,1228.0,3.0,1.555
1.9911,50.0,2239.0,3.0,1.587
2.6033,52.0,1503.0,3.0,1.629
1.3578,40.0,751.0,3.0,1.475
1.7135,42.0,1639.0,3.0,1.598
1.725,52.0,2436.0,3.0,1.139
2.1806,52.0,1688.0,3.0,0.997
2.6,52.0,2224.0,3.0,1.326
2.4038,41.0,535.0,3.0,1.075
2.4597,49.0,1130.0,3.0,0.938
1.808,52.0,1898.0,3.0,1.055
1.6424,50.0,2082.0,3.0,1.089
1.6875,52.0,729.0,3.0,1.32
1.9274,49.0,1916.0,3.0,1.223
1.9615,52.0,2153.0,3.0,1.152
1.7969,48.0,1922.0,3.0,1.104
1.375,49.0,1655.0,3.0,1.049
2.7303,51.0,2665.0,3.0,1.097
1.4861,49.0,1215.0,3.0,0.972
1.0972,48.0,1798.0,3.0,1.045
1.4103,52.0,1511.0,3.0,1.039
3.48,52.0,1470.0,3.0,1.914
2.5898,52.0,2432.0,3.0,1.76
2.0978,52.0,1665.0,3.0,1.554
1.2852,51.0,936.0,3.0,1.5
1.025,49.0,713.0,3.0,1.188
3.9643,52.0,950.0,3.0,1.888
3.0125,52.0,1443.0,3.0,1.844
2.6768,52.0,1656.0,3.0,1.823
2.026,50.0,1125.0,3.0,1.425
