cement,water,coarse_aggregate,fine_aggregate,age_days,strength
540.0,162.0,1040.0,676.0,28.0,79.99
540.0,162.0,1055.0,676.0,28.0,61.89
332.5,228.0,932.0,594.0,270.0,40.27
332.5,228.0,932.0,594.0,365.0,41.05
198.6,192.0,978.4,825.5,360.0,44.3
266.0,228.0,932.0,670.0,90.0,47.03
380.0,228.0,932.0,594.0,365.0,43.7
380.0,228.0,932.0,594.0,28.0,36.45
266.0,228.0,932.0,670.0,28.0,45.85
475.0,228.0,932.0,594.0,28.0,39.29
198.6,192.0,978.4,825.5,90.0,38.07
198.6,192.0,978.4,825.5,28.0,28.02
427.5,228.0,932.0,594.0,270.0,43.01
190.0,228.0,932.0,670.0,90.0,42.33
304.0,228.0,932.0,670.0,28.0,47.81
380.0,228.0,932.0,670.0,90.0,52.91
139.6,192.0,1047.0,806.9,90.0,39.36
342.0,228.0,932.0,670.0,365.0,56.14
380.0,228.0,932.0,594.0,90.0,40.56
475.0,228.0,932.0,594.0,180.0,42.62
427.5,228.0,932.0,594.0,180.0,41.84
139.6,192.0,1047.0,806.9,28.0,28.24
139.6,192.0,1047.0,806.9,3.0,8.06
139.6,192.0,1047.0,806.9,180.0,44.21
380.0,228.0,932.0,670.0,365.0,52.52
380.0,228.0,932.0,670.0,270.0,53.3
380.0,228.0,932.0,594.0,270.0,41.15
342.0,228.0,932.0,670.0,180.0,52.12
427.5,228.0,932.0,594.0,28.0,37.43
475.0,228.0,932.0,594.0,7.0,38.6
304.0,228.0,932.0,670.0,365.0,55.26
266.0,228.0,932.0,670.0,365.0,52.91
198.6,192.0,978.4,825.5,180.0,41.72
475.0,228.0,932.0,594.0,270.0,42.13
190.0,228.0,932.0,670.0,365.0,53.69
237.5,228.0,932.0,594.0,270.0,38.41
237.5,228.0,932.0,594.0,28.0,30.08
332.5,228.0,932.0,594.0,90.0,37.72
475.0,228.0,932.0,594.0,90.0,42.23
237.5,228.0,932.0,594.0,180.0,36.25
342.0,228.0,932.0,670.0,90.0,50.46
427.5,228.0,932.0,594.0,365.0,43.7
237.5,228.0,932.0,594.0,365.0,39.0
380.0,228.0,932.0,670.0,180.0,53.1
427.5,228.0,932.0,594.0,90.0,41.54
427.5,228.0,932.0,594.0,7.0,35.08
